seqDocumento,dataPublicacao,numeroRegistro,numProcessoSTJ,dataRecebimento,dataDistribuicao,ministro,recurso,descricaoMonocratica,assuntoPenal
145690210,2022-02-22 00:00:00-03:00,202200262790,1982792,2022-02-02 23:00:00-03:00,2022-02-03 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido,1
146019081,2022-02-25 00:00:00-03:00,202200261237,1982788,2022-02-02 23:00:00-03:00,2022-02-06 23:00:00-03:00,LAURITA VAZ,,Conhecido o recurso e provido,1
145619986,2022-02-16 23:00:00-03:00,202200248378,1982712,2022-02-01 23:00:00-03:00,2022-02-03 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
145042300,2022-02-17 23:00:00-03:00,202200196799,1982326,2022-01-26 23:00:00-03:00,2022-02-06 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido em parte,0
145320295,2022-02-14 23:00:00-03:00,202200169503,1981277,2022-01-24 23:00:00-03:00,2022-01-30 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
145850367,2022-02-23 00:00:00-03:00,202200214010,1982476,2022-01-30 23:00:00-03:00,2022-02-07 23:00:00-03:00,ANTONIO SALDANHA PALHEIRO,,Conhecido o recurso e provido,1
145139541,2022-02-14 23:00:00-03:00,202200213870,1982477,2022-01-27 23:00:00-03:00,2022-02-06 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido,1
144878054,2022-02-10 23:00:00-03:00,202200213706,1982475,2022-01-30 23:00:00-03:00,2022-02-06 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
145324040,2022-02-21 00:00:00-03:00,202200209140,1982919,2022-01-27 23:00:00-03:00,2022-02-10 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
144769577,2022-02-07 23:00:00-03:00,202200153127,1980109,2022-01-23 23:00:00-03:00,2022-01-24 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido em parte,1
145393915,2022-02-16 23:00:00-03:00,202200152660,1980128,2022-01-23 23:00:00-03:00,2022-01-30 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
144707268,2022-02-07 23:00:00-03:00,202200148649,1980135,2022-01-20 23:00:00-03:00,2022-01-26 23:00:00-03:00,SÉRGIO KUKINA,,Conhecido o recurso e provido em parte,0
144180473,2022-02-02 23:00:00-03:00,202200148536,1980138,2022-01-20 23:00:00-03:00,2022-01-26 23:00:00-03:00,OG FERNANDES,,Conhecido o recurso e provido,0
146030423,2022-02-25 00:00:00-03:00,202200148435,1982764,2022-01-20 23:00:00-03:00,2022-02-07 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
146045349,2022-02-23 00:00:00-03:00,202200143940,1980082,2022-01-20 23:00:00-03:00,2022-01-25 23:00:00-03:00,JOEL ILAN PACIORNIK,,Conhecido o recurso e provido,1
146217218,2022-02-25 00:00:00-03:00,202200136950,1981772,2022-01-19 23:00:00-03:00,2022-02-01 23:00:00-03:00,ANTONIO CARLOS FERREIRA,,Conhecido o recurso e provido,0
146151752,2022-02-25 00:00:00-03:00,202200135862,1980066,2022-01-19 23:00:00-03:00,2022-01-25 23:00:00-03:00,OLINDO MENEZES (DESEMBARGADOR CONVOCADO DO TRF 1ª REGIÃO),,Conhecido o recurso e provido,1
145586936,2022-02-22 00:00:00-03:00,202200183600,1982140,2022-01-25 23:00:00-03:00,2022-02-03 23:00:00-03:00,ANTONIO CARLOS FERREIRA,,Conhecido o recurso e provido,0
145289099,2022-02-16 23:00:00-03:00,202200182536,1982118,2022-01-25 23:00:00-03:00,2022-01-30 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido,1
145807211,2022-02-23 00:00:00-03:00,202200182383,1982119,2022-01-25 23:00:00-03:00,2022-02-16 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
145602535,2022-02-17 23:00:00-03:00,202200128935,1979945,2022-01-19 23:00:00-03:00,2022-01-25 23:00:00-03:00,JOEL ILAN PACIORNIK,,Conhecido o recurso e provido,1
144664905,2022-02-14 23:00:00-03:00,202200127950,1981641,2022-01-19 23:00:00-03:00,2022-01-31 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido em parte,0
145470185,2022-02-21 00:00:00-03:00,202200123679,1981601,2022-01-19 23:00:00-03:00,2022-02-01 23:00:00-03:00,MARCO BUZZI,,Conhecido o recurso e provido em parte,0
145478199,2022-02-21 00:00:00-03:00,202200123643,1981602,2022-01-19 23:00:00-03:00,2022-01-31 23:00:00-03:00,MARCO BUZZI,,Conhecido o recurso e provido em parte,0
145300905,2022-02-14 23:00:00-03:00,202200120637,1981508,2022-01-18 23:00:00-03:00,2022-01-31 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
144888403,2022-02-08 23:00:00-03:00,202200118457,1982430,2022-01-18 23:00:00-03:00,2022-02-07 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
145782989,2022-02-25 00:00:00-03:00,202200116943,1979972,2022-01-18 23:00:00-03:00,2022-01-24 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
145815406,2022-02-22 00:00:00-03:00,202200108929,1982434,2022-01-18 23:00:00-03:00,2022-02-07 23:00:00-03:00,LUIS FELIPE SALOMÃO,,Conhecido o recurso e provido,0
145323727,2022-02-25 00:00:00-03:00,202200106137,1979815,2022-01-17 23:00:00-03:00,2022-01-24 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
145427948,2022-02-25 00:00:00-03:00,202200106137,1979815,2022-01-17 23:00:00-03:00,2022-01-24 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido em parte o recurso e provido em parte,1
144648764,2022-02-10 23:00:00-03:00,202200095506,1979797,2022-01-17 23:00:00-03:00,2022-01-20 23:00:00-03:00,JOÃO OTÁVIO DE NORONHA,,Conhecido o recurso e provido,1
145847693,2022-02-22 00:00:00-03:00,202200094622,1979781,2022-01-16 23:00:00-03:00,2022-01-20 23:00:00-03:00,OLINDO MENEZES (DESEMBARGADOR CONVOCADO DO TRF 1ª REGIÃO),,Conhecido o recurso e provido,1
144739290,2022-02-23 00:00:00-03:00,202200093500,1981127,2022-01-16 23:00:00-03:00,2022-02-01 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
144107744,2022-02-07 23:00:00-03:00,202200089966,1979784,2022-01-16 23:00:00-03:00,2022-01-23 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
145760660,2022-02-21 00:00:00-03:00,202200089448,1979769,2022-01-16 23:00:00-03:00,2022-01-24 23:00:00-03:00,JOEL ILAN PACIORNIK,,Conhecido o recurso e provido,1
144891955,2022-02-10 23:00:00-03:00,202200089157,1979761,2022-01-16 23:00:00-03:00,2022-01-24 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
146252808,2022-02-25 00:00:00-03:00,202200088402,1979754,2022-01-16 23:00:00-03:00,2022-01-20 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido,1
144260404,2022-02-02 23:00:00-03:00,202200086670,1979750,2022-01-16 23:00:00-03:00,2022-01-24 23:00:00-03:00,ANTONIO SALDANHA PALHEIRO,,Conhecido o recurso e provido em parte,1
144885814,2022-02-08 23:00:00-03:00,202200086253,1979795,2022-01-16 23:00:00-03:00,2022-01-24 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido em parte,1
144380783,2022-02-03 23:00:00-03:00,202200082720,1981025,2022-01-16 23:00:00-03:00,2022-01-30 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
146131021,2022-02-25 00:00:00-03:00,202200071849,1979698,2022-01-13 23:00:00-03:00,2022-01-23 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
144147027,2022-02-01 23:00:00-03:00,202200071154,1980861,2022-01-13 23:00:00-03:00,2022-01-26 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido em parte,0
145160980,2022-02-13 23:00:00-03:00,202200032824,1979472,2022-01-10 23:00:00-03:00,2022-01-12 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido,1
144522388,2022-02-23 00:00:00-03:00,202200031840,1979465,2022-01-10 23:00:00-03:00,2022-01-18 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido,1
144863771,2022-02-17 23:00:00-03:00,202200067799,1979680,2022-01-13 23:00:00-03:00,2022-01-18 23:00:00-03:00,LUIS FELIPE SALOMÃO,,"Agravo conhecido para dar parcial provimento ao Recurso Especial
",0
144951071,2022-02-09 23:00:00-03:00,202200060362,1979642,2022-01-12 23:00:00-03:00,2022-01-24 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido,1
144539770,2022-02-16 23:00:00-03:00,202200051969,1980698,2022-01-11 23:00:00-03:00,2022-01-26 23:00:00-03:00,MARCO BUZZI,,Conhecido o recurso e provido em parte,0
144099454,2022-02-01 23:00:00-03:00,202200046076,1980636,2022-01-11 23:00:00-03:00,2022-01-26 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
144380422,2022-02-21 00:00:00-03:00,202200045042,1980639,2022-01-11 23:00:00-03:00,2022-01-25 23:00:00-03:00,MARCO BUZZI,,Conhecido o recurso e provido em parte,0
145831205,2022-02-22 00:00:00-03:00,202200039808,1979501,2022-01-10 23:00:00-03:00,2022-01-16 23:00:00-03:00,ANTONIO SALDANHA PALHEIRO,,Concedido o Habeas Corpus,1
145661069,2022-02-21 00:00:00-03:00,202200039542,1980611,2022-01-10 23:00:00-03:00,2022-01-25 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
144090548,2022-02-01 23:00:00-03:00,202200037659,1980570,2022-01-10 23:00:00-03:00,2022-01-25 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido em parte,0
144880886,2022-02-17 23:00:00-03:00,202200035805,1979492,2022-01-10 23:00:00-03:00,2022-01-13 23:00:00-03:00,LUIS FELIPE SALOMÃO,,Conhecido o recurso e provido em parte,0
145480440,2022-02-16 23:00:00-03:00,202200031713,1979452,2022-01-10 23:00:00-03:00,2022-01-18 23:00:00-03:00,ANTONIO SALDANHA PALHEIRO,,Conhecido o recurso e provido,1
145252890,2022-02-13 23:00:00-03:00,202200030081,1979448,2022-01-10 23:00:00-03:00,2022-01-13 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido em parte,1
144378159,2022-02-02 23:00:00-03:00,202200012058,1979402,2022-01-06 23:00:00-03:00,2022-01-12 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido em parte,0
144721695,2022-02-07 23:00:00-03:00,202200026301,1980431,2022-01-09 23:00:00-03:00,2022-01-30 23:00:00-03:00,NANCY ANDRIGHI,,Conhecido o recurso e provido,0
145998459,2022-02-24 00:00:00-03:00,202200024519,1979170,2022-01-09 23:00:00-03:00,2022-01-17 23:00:00-03:00,ANTONIO SALDANHA PALHEIRO,,Conhecido o recurso e provido em parte,1
146003074,2022-02-24 00:00:00-03:00,202200024519,1979170,2022-01-09 23:00:00-03:00,2022-01-17 23:00:00-03:00,ANTONIO SALDANHA PALHEIRO,,Conhecido o recurso e provido em parte,1
144104353,2022-02-01 23:00:00-03:00,202200023560,1980387,2022-01-09 23:00:00-03:00,2022-01-24 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido em parte,0
144478596,2022-02-06 23:00:00-03:00,202200017982,1978930,2022-01-09 23:00:00-03:00,2022-01-12 23:00:00-03:00,ANTONIO SALDANHA PALHEIRO,,Conhecido o recurso e provido,1
143958216,2022-02-01 23:00:00-03:00,202104072012,1979227,2021-12-19 23:00:00-03:00,2022-01-23 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
144848343,2022-02-17 23:00:00-03:00,202104070558,1979224,2021-12-19 23:00:00-03:00,2022-01-23 23:00:00-03:00,LUIS FELIPE SALOMÃO,,Conhecido o recurso e provido,0
144662008,2022-02-07 23:00:00-03:00,202104092091,1978304,2021-12-28 23:00:00-03:00,2021-12-30 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido,1
144093695,2022-02-01 23:00:00-03:00,202104062582,1979190,2021-12-16 23:00:00-03:00,2022-01-24 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
144378166,2022-02-02 23:00:00-03:00,202104062508,1979193,2021-12-16 23:00:00-03:00,2022-01-19 23:00:00-03:00,ANTONIO CARLOS FERREIRA,,Conhecido em parte o recurso e provido em parte,0
143808140,2022-02-02 23:00:00-03:00,202104062165,1979188,2021-12-16 23:00:00-03:00,2022-01-18 23:00:00-03:00,PAULO DE TARSO SANSEVERINO,,Conhecido o recurso e provido,0
145258006,2022-02-14 23:00:00-03:00,202104061409,1978206,2021-12-16 23:00:00-03:00,2022-01-06 23:00:00-03:00,JOÃO OTÁVIO DE NORONHA,,Conhecido o recurso e provido,1
144366037,2022-02-02 23:00:00-03:00,202104061078,1978204,2021-12-16 23:00:00-03:00,2022-01-12 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido em parte,1
145597837,2022-02-17 23:00:00-03:00,202104061005,1978086,2021-12-16 23:00:00-03:00,2022-01-12 23:00:00-03:00,ANTONIO SALDANHA PALHEIRO,,Conhecido o recurso e provido,1
145490841,2022-02-16 23:00:00-03:00,202104060740,1978202,2021-12-16 23:00:00-03:00,2022-01-12 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido,1
143713038,2022-02-06 23:00:00-03:00,202104075523,1979248,2021-12-20 23:00:00-03:00,2022-01-13 23:00:00-03:00,MARCO BUZZI,,Conhecido o recurso e provido,0
144129449,2022-02-01 23:00:00-03:00,202104075483,1979242,2021-12-20 23:00:00-03:00,2022-01-26 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido em parte,0
145363236,2022-02-22 00:00:00-03:00,202104053558,1979076,2021-12-16 23:00:00-03:00,2022-01-13 23:00:00-03:00,LUIS FELIPE SALOMÃO,,Conhecido o recurso e provido em parte,0
144862349,2022-02-21 00:00:00-03:00,202104064464,1979201,2021-12-16 23:00:00-03:00,2022-01-18 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
144377086,2022-02-06 23:00:00-03:00,202104062683,1979192,2021-12-16 23:00:00-03:00,2022-01-19 23:00:00-03:00,MARCO BUZZI,,Conhecido o recurso e provido em parte,0
144983773,2022-02-09 23:00:00-03:00,202104062660,1978217,2021-12-16 23:00:00-03:00,2021-12-28 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido,1
144888637,2022-02-21 00:00:00-03:00,202104059291,1981246,2021-12-16 23:00:00-03:00,2022-02-01 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
144689138,2022-02-10 23:00:00-03:00,202104056742,1978351,2021-12-16 23:00:00-03:00,2022-01-18 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
144707924,2022-02-07 23:00:00-03:00,202104032668,1978024,2021-12-15 23:00:00-03:00,2021-12-29 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
143858199,2022-02-01 23:00:00-03:00,202104031850,1978943,2021-12-15 23:00:00-03:00,2022-01-12 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
143857458,2022-02-01 23:00:00-03:00,202104031747,1979894,2021-12-15 23:00:00-03:00,2022-01-20 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
145896913,2022-02-25 00:00:00-03:00,202104050553,1979049,2021-12-16 23:00:00-03:00,2022-01-12 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
144044318,2022-02-01 23:00:00-03:00,202104048146,1979043,2021-12-15 23:00:00-03:00,2022-01-23 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido em parte,0
145961499,2022-02-23 00:00:00-03:00,202104047605,1978085,2021-12-15 23:00:00-03:00,2021-12-28 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido em parte,1
145523713,2022-02-22 00:00:00-03:00,202104020587,1978859,2021-12-14 23:00:00-03:00,2022-01-25 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
145042958,2022-02-22 00:00:00-03:00,202104018181,1977960,2021-12-14 23:00:00-03:00,2021-12-28 23:00:00-03:00,LUIS FELIPE SALOMÃO,,Conhecido o recurso e provido em parte,0
145164597,2022-02-22 00:00:00-03:00,202104018144,1978932,2021-12-14 23:00:00-03:00,2022-01-23 23:00:00-03:00,RICARDO VILLAS BÔAS CUEVA,,Conhecido o recurso e provido,0
144495143,2022-02-14 23:00:00-03:00,202104039071,1978988,2021-12-15 23:00:00-03:00,2022-01-17 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
144530839,2022-02-23 00:00:00-03:00,202104037519,1978979,2021-12-15 23:00:00-03:00,2022-01-24 23:00:00-03:00,ANTONIO CARLOS FERREIRA,,Conhecido o recurso e provido em parte,0
144960753,2022-02-21 00:00:00-03:00,202104036849,1978977,2021-12-15 23:00:00-03:00,2022-01-24 23:00:00-03:00,ANTONIO CARLOS FERREIRA,,Conhecido o recurso e provido,0
143782563,2022-02-06 23:00:00-03:00,202104013446,1977935,2021-12-14 23:00:00-03:00,2021-12-22 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido,1
145915229,2022-02-22 00:00:00-03:00,202104012626,1977931,2021-12-14 23:00:00-03:00,2021-12-22 23:00:00-03:00,OLINDO MENEZES (DESEMBARGADOR CONVOCADO DO TRF 1ª REGIÃO),,Conhecido o recurso e provido,1
144456906,2022-02-02 23:00:00-03:00,202104012450,1977944,2021-12-14 23:00:00-03:00,2021-12-28 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
143808303,2022-02-06 23:00:00-03:00,202104030321,1978887,2021-12-15 23:00:00-03:00,2022-01-19 23:00:00-03:00,MARCO BUZZI,,Conhecido o recurso e provido em parte,0
144775982,2022-02-14 23:00:00-03:00,202104026360,1977995,2021-12-14 23:00:00-03:00,2021-12-22 23:00:00-03:00,JOEL ILAN PACIORNIK,,Conhecido o recurso e provido,1
145172594,2022-02-22 00:00:00-03:00,202104008843,1978779,2021-12-13 23:00:00-03:00,2022-01-10 23:00:00-03:00,RICARDO VILLAS BÔAS CUEVA,,Conhecido o recurso e provido em parte,0
144565809,2022-02-14 23:00:00-03:00,202104007287,1979868,2021-12-13 23:00:00-03:00,2022-01-24 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
144633257,2022-02-23 00:00:00-03:00,202104017777,1977959,2021-12-14 23:00:00-03:00,2021-12-28 23:00:00-03:00,ANTONIO CARLOS FERREIRA,,Conhecido o recurso e provido em parte,0
144376122,2022-02-02 23:00:00-03:00,202104016504,1978835,2021-12-14 23:00:00-03:00,2022-01-19 23:00:00-03:00,ANTONIO CARLOS FERREIRA,,Conhecido em parte o recurso e provido em parte,0
145262765,2022-02-16 23:00:00-03:00,202104014320,1978815,2021-12-14 23:00:00-03:00,2022-01-23 23:00:00-03:00,PAULO DE TARSO SANSEVERINO,,Conhecido o recurso e provido,0
144773319,2022-02-07 23:00:00-03:00,202103998132,1977889,2021-12-13 23:00:00-03:00,2021-12-19 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido,1
145772391,2022-02-21 00:00:00-03:00,202103996819,1978693,2021-12-13 23:00:00-03:00,2022-01-23 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
144982586,2022-02-09 23:00:00-03:00,202103991552,1977874,2021-12-13 23:00:00-03:00,2021-12-19 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido,1
144471785,2022-02-17 23:00:00-03:00,202103989359,1978645,2021-12-12 23:00:00-03:00,2022-01-24 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
144075561,2022-02-01 23:00:00-03:00,202103988993,1979631,2021-12-12 23:00:00-03:00,2022-01-17 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido em parte,0
146126253,2022-02-25 00:00:00-03:00,202103987934,1977798,2021-12-12 23:00:00-03:00,2021-12-19 23:00:00-03:00,OLINDO MENEZES (DESEMBARGADOR CONVOCADO DO TRF 1ª REGIÃO),,Conhecido o recurso e provido,1
143694355,2022-02-03 23:00:00-03:00,202103987744,1977797,2021-12-12 23:00:00-03:00,2021-12-19 23:00:00-03:00,RIBEIRO DANTAS,,Conhecido o recurso e provido,1
145758720,2022-02-22 00:00:00-03:00,202103985761,1977785,2021-12-12 23:00:00-03:00,2021-12-19 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido,1
144378165,2022-02-23 00:00:00-03:00,202104005571,1978748,2021-12-13 23:00:00-03:00,2022-01-24 23:00:00-03:00,ANTONIO CARLOS FERREIRA,,Conhecido o recurso e provido em parte,0
145106944,2022-02-13 23:00:00-03:00,202104005307,1977910,2021-12-13 23:00:00-03:00,2021-12-22 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido,1
145146596,2022-02-16 23:00:00-03:00,202104003069,1977905,2021-12-13 23:00:00-03:00,2021-12-22 23:00:00-03:00,JOEL ILAN PACIORNIK,,Conhecido em parte o recurso e provido em parte,1
143350737,2022-02-02 23:00:00-03:00,202104002957,1977907,2021-12-13 23:00:00-03:00,2021-12-19 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
143583932,2022-02-02 23:00:00-03:00,202103982274,1977777,2021-12-12 23:00:00-03:00,2021-12-15 23:00:00-03:00,PAULO DE TARSO SANSEVERINO,,Conhecido o recurso e provido,0
143487044,2022-02-25 00:00:00-03:00,202103994700,1977886,2021-12-13 23:00:00-03:00,2021-12-19 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido em parte,1
